4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000099 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000009A (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000A0 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000A7 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000A9 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000AA (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000AB (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000AC (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000AD (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000AE (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000AF (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000B0 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000B1 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000B2 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000B3 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000B4 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000B5 (SulfurousAsh)
